===Database fasysdb

== Table structure for table ergonomysessionresults

|------
|Column|Type|Null|Default
|------
|//**ID**//|int(11)|No|
|MovementType|int(11)|No|
|AcquisitionTime|timestamp|Yes|NULL
|Angle|double|Yes|NULL
|ergonomysession_ID|int(11)|No|
|deviceNumber|int(11)|No|
== Dumping data for table ergonomysessionresults

|0
|73.0956391173504
|58.3006948356156
|53.8802763227129
|29.9273519924552
|33.2238735761431
|21.7304808878013
|16.8201492573569
|12.5704510959662
|20.6468383839281
|85.1752753219403
|18.7945266427204
|18.5978251100591
|21.6155340366496
|14.5426753976919
|11.6345085949734
|21.6377911127929
|25.9629261491626
|24.784393832284
|22.2056552397445
|14.7016080806611
|16.6807421200923
|14.1154037489416
|55.3200572354975
|19.9993868365236
|19.1744840315679
|22.1820610272495
|11.9211409547228
|15.0602533402681
|49.1045134165349
|15.9035125447109
|20.964144470309
|18.019824250615
|17.8386128725513
|19.1200969567398
|15.0934788916315
|17.1582223030829
|22.7557310949079
|23.8329673055283
|14.59776335122
|26.1730866995972
|16.2095047122012
|21.8266520149358
|52.696575924811
|17.8238302262052
|16.1066176157186
|14.9798109450522
|15.7307621599625
|18.2053365089874
|17.7108387004868
|58.0008327941778
|19.7187255392091
|50.0905434540874
|16.2129858527903
|92.4285505840929
|92.4285505840929
|92.4285505840929
|92.4285505840929
|21.3449693322079
|11.8816244076808
|12.6940539354376
|17.6174481076713
|57.9763775359858
|33.7358301831478
|26.0702393167191
|17.0245029088558
|38.5815447958062
|22.7583915361057
|14.5060832946056
|14.9088518341733
|17.5615819565311
|41.7365493728659
|17.5718016209782
|15.6999251335061
|17.5761811497149
|19.0181703995746
|12.1767556884344
|49.7278421544284
|14.5200744532631
|60.9231056689044
|21.0725074164653
|16.0771062321835
|19.2987784133714
|16.8064390186876
|33.0764551504337
|17.92202101935
|28.483638388318
|71.4609498965807
|19.7444675158179
|22.6932062411577
|16.404665171198
|20.1378688364602
|34.6335420797272
|12.389395074107
|48.8077807369516
|16.3096872239279
|19.6681140282436
|31.7358137275578
|18.680260302412
|23.9365943439879
|33.2248557993946
|41.6951297219763
|19.4714534952162
|58.9467743836163
|17.3356680340526
|19.9800642176095
|21.5695774524688
|17.0832466695479
|26.3945555823224
|19.5811445629672
|17.7483758119473
|20.8254291787682
|19.8531088869431
|20.8953323711892
|22.100588510944
|21.2671589636605
|27.4414689227533
|21.2925154283601
|12.8902845846863
|21.6635889075492
|18.0053192570165
|22.3931284145644
|14.717970891551
|46.2657797669861
|13.7210084167839
|17.8456478099278
|15.1726279345133
|28.6519528173374
|18.9514642440826
|20.1839343072364
|14.8018723534484
|19.4260379099615
|19.5839583002544
|20.0528328162246
|35.657949695684
|18.1279168691842
|45.6273889567558
|17.160013633707
|47.8872118246436
|43.0336264858025
|43.7250092031675
